label,eyes_with_change,visits,r_bcva,p_bcva,r_cst,p_cst
ir_hemorrhages,20,40,-0.4255758018010523,0.006186185295901129,0.5375108190072004,0.0003480587353703625
pavf,15,30,-0.29193257731475847,0.11749901798278406,0.143175392137226,0.4503789779675707
srf,15,30,-0.6269864404104843,0.00020921862808750337,0.8837400858471731,9.783592342561665e-11
drt_me,14,28,-0.5567112005113769,0.002092040798238603,0.7798474812323019,9.980271319583088e-07
preretinal_tissue,13,26,0.20421871282803178,0.3169720339589034,0.375155246962552,0.0589610378649989
vitreous_debris,12,24,-0.23084778702148126,0.2777937827789141,0.2063968930468002,0.3332297929792296
ez_disruption,11,22,0.6395789393362942,0.0013501487605266584,-0.7726894431407894,2.5004238826424792e-05
atrophy_thinning,8,16,0.7457344840582187,0.0009114194265986619,-0.5803832730071792,0.01841896820455882
shrm,8,16,0.27857624827139643,0.2961244502396843,0.109509126456825,0.6864172498377614
irf,7,14,-0.6184873194696445,0.01838379565736359,0.6221584734470897,0.017508022508840305
favf,7,14,-0.18697325665779652,0.5221412694591315,-0.2854350543234637,0.32256012349506014
rpe_disruption,4,8,-0.0724206824377901,0.8646852593308805,0.2506850758275825,0.5492864817101916
dril,3,6,-0.599144689515278,0.208821756152902,0.7047960237874337,0.11785524889768716
vmt,2,4,-0.29639921487245285,0.7036007851275472,0.6773720478781837,0.3226279521218163
irhrf,0,0,,,,
ped_serous,0,0,,,,
